x,y
0.0898585,0.231833
0.329271,0.43872
0.568062,0.604774
0.795713,0.76585
1.04096,0.958288
1.26548,1.10124
1.49498,1.2465
1.71905,1.39695
1.98829,1.5898
2.19792,1.71369
2.65843,1.96847
2.88182,2.08819
3.12818,2.20037
3.34521,2.29943
3.59877,2.39933
3.80867,2.48956
4.04107,2.57306
4.26441,2.64501
4.4902,2.71505
4.70511,2.77185
4.88695,2.84266
5.16606,2.87408
5.37002,2.91795
5.58434,2.9519
5.8265,2.9761
6.00445,3.00997
6.21536,3.04662
6.46043,3.02501
6.68194,3.03123
6.88711,3.0268
7.10631,3.02131
7.29457,3.02253
7.52632,2.97284
7.73917,2.94364
7.95797,2.90602
8.15712,2.86782
8.37109,2.8027
8.57785,2.74795
8.79205,2.687
8.99003,2.63381
9.17104,2.59085
9.38998,2.47527
9.58935,2.39623
9.80252,2.28553
10.0064,2.16123
10.1865,2.07813
10.3772,1.99171
10.5867,1.81257
10.7749,1.70926
10.9664,1.59966
11.1565,1.45068
